attributeName,attributeDefinition,n,ECSO_ID
SHFP_1,"Soil Heat Flux Plate Microhabitat #1, W/m2",31,
SHFP_2,"Soil Heat Flux Plate Microhabitat #2, W/m2",31,
SHFP_3,"Soil Heat Flux Plate Microhabitat #3, W/m2",31,
SHFP_4,"Soil Heat Flux Plate Microhabitat #4, W/m2",31,
STP_1,"Soil Temperature Microhabitat #1, degC",31,
STP_2,"Soil Temperature Microhabitat #2, degC",31,
STP_3,"Soil Temperature Microhabitat #3, degC",31,
STP_4,"Soil Temperature Microhabitat #4, degC",31,
T_AIR,"Temperature of the air, degC",31,
WETB_L,"Lower Wet Bulb Temperature Micro-Bowen-Ratio System, degC",31,
WETB_U,"Upper Wet Bulb Temperature Micro-Bowen-Ratio System, degC",31,
column1,Julian day,30,
column10,Latent heat flux in W/m2,30,
column11,Correction factor used for CO2 flux,30,
column13,Density of air calculated from virtual temperature,30,
column14,Wind direction in degrees from North,30,
column2,Time mark of the END of the averaging period,30,
column3,Julian Day plus time fraction of day,30,
column4,Specific humidity in g H2O/kg moist air,30,
column6,Monin-Obukhov stability parameter z/L,30,
column7,Sensible heat flux in W/m2,30,
column8,Correction factor used for moisture flux,30,
column9,Moisture flux in g H2O/m2/s,30,
timeS,"time, elapsed",30,
flag,flag id,29,
sbeox0ML/L,"recorded oxygen from SBE 43 instrument, milliliter per Liter",28,
flSP,fluorescence,27,
JOSS_TIM,JOSS_TIM,23,
Corrresponding_File,file name,20,
DBO_region,DBO identification,20,
DBO_Region,DBO identification,20,
DBO_station,specific station in DBO region,20,
DBO_Station,specific station in DBO region,20,
par,PAR/irradiance  and Biospherical/Licor,20,
tv290C,"temperature in celsius, ITS-90",20,
wetstar,fluorescence,20,
bat,"Beam Attenuation, Chelsea/Seatech/WET Labs Cstar",18,
Date_Time,Date and time measurement was taken,18,
density00,density,18,
depSM,"depth, salt water",18,
longitude,longitude,18,
sbeox0PS,"recorded oxygen from SBE 43 instrument, percent saturation",18,
svCM1,sound velocity 2,18,
xmiss,"Beam Transmission percentage, Chelsea/Seatech/WET Labs CStar",18,
CPAR,"corrected irradiance, percentage",17,
dovdt2,Estimate of sensor output change over time,17,
dovdt2,Second etimate of sensor output change over time,17,
OxCur2,oxygen current 2,17,
OxCur2,secondary oxygen current measurement,17,
PAR,irradiance,17,
PAR,photosynthetically actived radiation,17,
SPAR,"surface irradiance, percentage",17,
Year,Year in which data were collected,14,
MRN1,Pyranometer (Wm-2),13,
Year,Year measurement was taken,13,
Day,Day of year measurement was taken,12,
doy,day of year measurement was taken,12,
H,Sensible heat,12,
H,Sensible heat turbulent flux (no storage correction),12,
H2O,Water (H2O) vapor mole fraction,12,
Hour,Hour of day measurement was taken,12,
JOSSTIME,JOSS UTC time,12,
LE,Latent heat,12,
LE,Latent heat turbulent flux (no storage correction),12,
LW_IN,"Longwave radiation, incoming",12,
LW_OUT,"Longwave radiation, outgoing",12,
NETRAD,Net radiation,12,
PA,Atmospheric pressure,12,
PPFD_IN,"Photosynthetic photon flux density, incoming",12,
qcH,quality flag for H,12,
qcLE,quality flag for LE,12,
qcNEE,quality flag for NEE,12,
qcRg,quality flag for Rg,12,
qcrH,quality flag for rH,12,
qcTair,quality flag for Tair,12,
qcTsoil,quality flag for Tsoil,12,
qcustar,quality flag for friction velocity,12,
qcVPD,quality flag for VPD,12,
Rg,Net radiation,12,
rH,Relative humididty,12,
SW_IN,"Shortwave radiation, incoming",12,
SW_OUT,"Shortwave radiation, outgoing",12,
TA,Air temperature,12,
Tair,Air temprature,12,
TIMESTAMP_END,ISO timestamp end of averaging period (up to a 12-digit integer as specified by the data's temporal resolution),12,
TIMESTAMP_START,ISO timestamp start of averaging period (up to a 12-digit integer as specified by the data's temporal resolution),12,
Tsoil,Soil temperature at 0-5 cm,12,
Ustar,Friction velocity,12,
USTAR,Friction velocity,12,
VPD,Vapor pressure deficit,12,
WD,Wind direction,12,
WS,Wind speed,12,
APAR,Absorbed PAR,11,
block,Experimental block (#1-8),11,
doy,Julian day of year,11,
FAPAR,"Fraction of absorbed PAR, range 0-100",11,
G,Soil heat flux,11,
line,Line of dataset,11,
P,Precipitation,11,
PPFD_DIF,"Photosynthetic photon flux density, diffuse incoming",11,
PPFD_OUT,"Photosynthetic photon flux density, outgoing",11,
prDM,"pressure, strain gauge",11,
RH,"Relative humidity, range 0-100",11,
SH,Heat storage flux in the air,11,
SLE,Latent heat storage flux,11,
SW_DIF,"Shortwave radiation, diffuse incoming",11,
SWC_1,"Soil water content (volumetric), range 0-100; With qualifier '_#' (Aggregation layer index); Use: tower team or network team; Details: Variables with the same base name and the same height / depth but different horizontal positions can be aggregated. This aggregation across a horizontal plane represents the footprint at a given layer. The _# qualifier is replaced by a numerical index indicating the layer’s relative height / depth position.; Note: An aggregated layer index may not be needed for variables that are representative of the tower footprint, either through aggregation or spatial resolution (see note in example after 3.4.4). There are a few exceptions like soil temperature where the qualifiers are always needed to indicate layer depth.",11,
SWC_2,"Soil water content (volumetric), range 0-100; With qualifier '_#' (Aggregation layer index); Use: tower team or network team; Details: Variables with the same base name and the same height / depth but different horizontal positions can be aggregated. This aggregation across a horizontal plane represents the footprint at a given layer. The _# qualifier is replaced by a numerical index indicating the layer’s relative height / depth position.; Note: An aggregated layer index may not be needed for variables that are representative of the tower footprint, either through aggregation or spatial resolution (see note in example after 3.4.4). There are a few exceptions like soil temperature where the qualifiers are always needed to indicate layer depth.",11,
TS_1,"Soil temperature; With qualifier '_#' (Aggregation layer index); Use: tower team or network team; Details: Variables with the same base name and the same height / depth but different horizontal positions can be aggregated. This aggregation across a horizontal plane represents the footprint at a given layer. The _# qualifier is replaced by a numerical index indicating the layer’s relative height / depth position.; Note: An aggregated layer index may not be needed for variables that are representative of the tower footprint, either through aggregation or spatial resolution (see note in example after 3.4.4). There are a few exceptions like soil temperature where the qualifiers are always needed to indicate layer depth.",11,
TS_2,"Soil temperature; With qualifier '_#' (Aggregation layer index); Use: tower team or network team; Details: Variables with the same base name and the same height / depth but different horizontal positions can be aggregated. This aggregation across a horizontal plane represents the footprint at a given layer. The _# qualifier is replaced by a numerical index indicating the layer’s relative height / depth position.; Note: An aggregated layer index may not be needed for variables that are representative of the tower footprint, either through aggregation or spatial resolution (see note in example after 3.4.4). There are a few exceptions like soil temperature where the qualifiers are always needed to indicate layer depth.",11,
VPD_PI,"Vapor Pressure Deficit; With qualifier '_PI' (Provided by PI / tower team); Use: network team only; Details: _PI indicates a variable that has been QA/QC filtered or gap-filled by the tower team, independently of network QA/QC or gap-filling processing.",11,
YY,Year,11,
ZL,Monin-Obukhov Stability,11,
beg_scan_num,beginning scan number,10,
Bottle_Position,bottle number,10,
date,date and time of sampling,10,
Date_Time,date and time,10,
end_scan_num,ending scan number,10,
firing_number,firing number of sensor,10,
firing_position,firing position of sensor,10,
flc,fluorescence,10,
nbf,bottles fired,10,
par,"photosynthetically active radiation, irradiance, biospherical/licor",10,
plot,Experimental plot (#1-4),10,
Sal00,"salinity, the concentration of dissolved salts in water",10,
T090C,temperature in celsius,10,
timeS,time elapsed,10,
Turbidity,cloudiness or haziness of a fluid,10,
xmiss,Beam transmission,10,
c0S/m,"conductivity, the degree to which a specified material conducts electricity",9,
collection,Sample measurement period (#1-3),9,
Date,Date that the measurement was taken,9,
LakeDepth_m,Lake depth,9,
latitude,latitude,9,
Latitude,Latitude,9,
Longitude,Longitude,9,
M_G,Ground heat flux (Wm-2),9,
M_H,Sensible heat flux (Wm-2),9,
M_LE,Corrected latent heat flux (Wm-2),9,
ML,Monin-Obukov length (m),9,
MMEANH2O,Mean Licor weight fraction water vapour (g.kg-1),9,
MMEANP,Mean Licor internal pressure (Kpa),9,
MMEANT,Mean absolute (virtual corrected) sonic temperature (oC),9,
MMEANWD,Mean horizontal wind direction of sonic (205cm) (m.s-1),9,
MMEANWS,Mean horizontal wind speed of sonic (205cm) (m.s-1),9,
MPRESS,Pressure (mb),9,
MRAIN,Rain total (mm),9,
MRH1,Relative humidity 590cm (%),9,
MRH2,Relative Humidity 200cm (%),9,
MWS1,Wind speed 1 (m.s-1),9,
MWS2,Wind speed 2 (m.s-1),9,
potemp090C,"potential temperature, ITS-90",9,
prDM,"presssure, digiquartz",9,
sbeox0Mg/L,"oxygen, SBE 43 mg/l",9,
sbeox0PS,"oxygen saturation, SBE 43 percentage",9,
t090C,"temperature in celsius, ITS-90",9,
TempBed_C,Temperature at lake bed (at corresponding lake depth),9,
Time,Time of measurement,9,
Time_AST,Time in Alaska Standard Time (AST),9,
Battery Voltage,Battery voltage used in the buoy,8,
Date,Date measurement was taken,8,
Date_Time,Date and time that the measurement was taken ,8,
day,Day of the month of the data record,8,
DBO_Region,Distributed Biological Observatory (DBO) region code,8,
depSM,depth of salt water,8,
DOY,Day of year measurement was taken,8,
flsp,"fluorescence, seapoint",8,
hour,Hour of the data record. Ranges from 0 - 23,8,
Latitude,Latitude of measurement,8,
Latitude,Latitudinal coordinates of data record,8,
Longitude,Longitude of measurement,8,
Longitude,Longitudinal coordinates of data record,8,
month,Month of the data record,8,
nbin,number of scans per bin,8,
potemp090C,potential temperature from IT-90 instrument,8,
prDM,digiquartz pressure,8,
remov_treatment,vegetation removal treatments,8,
RH,Relative Humidity,8,
sbeox0V,"recorded oxygen from SBE 43 instrument, voltage",8,
Sea Level Pressure,Atmospheric pressure at sea level,8,
t090C,calibrated primary temperature in celsius,8,
t190C,calibrated secondary temperature in celsius,8,
Temperature at nominal depth,Temperature at nominal depth 0.0 m,8,
Temperature at nominal depth,Temperature at nominal depth 10.0 m,8,
Temperature at nominal depth,Temperature at nominal depth 15.0 m,8,
Temperature at nominal depth,Temperature at nominal depth 2.5 m,8,
Temperature at nominal depth,Temperature at nominal depth 20.0 m,8,
Temperature at nominal depth,Temperature at nominal depth 25.0 m,8,
Temperature at nominal depth,Temperature at nominal depth 5.0 m,8,
Temperature at nominal depth,Temperature at nominal depth 7.5 m,8,
TempSurface_C,Temperature at lake surface,8,
v1,primary voltage,8,
xmiss,recorded oxygen from SBE 43 instrument,8,
year,Year of collection (2016),8,
year,Year of the data record,8,
Air T,Air temperature,7,
Date_Time,Date and time measurement was taken ,7,
DOY,Measurement day of year,7,
FH2O,H2O Flux,7,
G_1,Soil Heat Flux,7,
G_2,Soil Heat Flux,7,
G_M,Surface ground heat flux (Wm-2),7,
graz_treatment,herbivory treatment,7,
H,Sensible Heat Flux,7,
H_M,Sensible heat flux (Wm-2),7,
JD,Julian Day,7,
L_M,Monin-Obukov length (m),7,
LakeElev_masl,Lake elevation in meters above sea level,7,
LE,Latent Heat Flux,7,
LE_M,Corrected latent heat flux (Wm-2) using Werners correction,7,
MDIR_M,Mean Sonic wind Direction,7,
MNH2O_M,Mean H2O conc from licor,7,
MNP_M,Mean Licor Pressure,7,
MNT_M,Mean Licor Temperature,7,
month,month,7,
MWS_M,Mean sonic wind speed,7,
PAR,Photosynthetically Active Radiation,7,
Rain,Precipitation,7,
Rn,Net Radiation,7,
RN_M,Net radiation (Wm-2),7,
Site,Four-letter code of site at which data were collected (nome),7,
Soil T1_0,Soil Temperature at 0 centimeters,7,
Soil T1_10,Soil Temperature at -10 centimeters,7,
Soil T1_5,Soil Temperature at -5 centimeters,7,
Soil T2_0,Soil Temperature at 0 centimeters,7,
Soil T2_10,Soil Temperature at -10 centimeters,7,
Soil T2_5,Soil Temperature at -5 centimeters,7,
SW,summer warming treatment,7,
TM,Time in AST,7,
u*,Friction Velocity,7,
USTARM,Friction velocity (m/s),7,
VALIDM,"Mobile site valid fluxes flag (1=good, 2=bad)",7,
WD,Wind Direction,7,
WS,Wind Speed,7,
WW,winter warming treatment,7,
year,Year measurement was taken,7,
Year,Sampling year,7,
0.5,Recorded temperature in celsius by the logger at 0.5 meters depth,6,
Age,in years cal BP from Age model version  V1,6,
AIRTEMP,air temperature at 2 m measured by Vaisala probe,6,
AZIMUTH,directional orientation of sonic anemometer,6,
BARO,barometric pressure,6,
CarGla,Percent cover hits for Carex glareosa,6,
CarRam,Percent cover hits for Carex ramenskii,6,
ChrArc,Percent cover hits for Chrysanthemum arcticum,6,
code,Code of stream or river.,6,
date,Observation date,6,
Day,Day,6,
DAY,day of year,6,
DesCae,Percent cover hits for Deschampsia caespitosa,6,
dry,soil drying,6,
Fence,"Samples are collected in 3 blocks, each block contains 2 fences (1-2; 3-4; 5-6). Within a block each fence is a split plot, winter warmed on one side, ambient on the other. Fences within blocks are replicates of each other",6,
FesRub,Percent cover hits for Festuca rubra,6,
filled,"gap filled or measured flux, measured = 1, modeled = 0",6,
G,ground heat flux,6,
GLOBLRAD,global radiation (downwelling shortwave radiation),6,
Grazing,Experimental grazing treatment,6,
H2OFLUXM,mass flux of water vapor,6,
hour,"Hour measurement was taken: hourly values reflect the midpoint of the hour in which data were collected (e.g., hour 1.5 reflects data collected from 1:00 - 1:59)",6,
HOUR,"hour of day, Alaska Daylight Time",6,
Identifier,Core with correspondant sediment sample depth ID (used to import MCD and age),6,
Identifier-MCD,Identifier composed of core site and MCD ,6,
Latitude,The latitudinal coordinates of the data point.,6,
LeyMol,Percent cover hits for Leymus mollis,6,
LigSco,Percent cover hits for Ligusticum scoticum,6,
Longitude,The longitudinal coordinates of the data point.,6,
MINUTES,minutes after the hour (data are an average of the previous 30 minutes),6,
NETRAD,net radiation,6,
Notes,Notes,6,
PAR,Photosynthetic photon flux density (Quantum flux),6,
PAR,photosynthetically active radiation,6,
Phenol,Experimental warming treatment,6,
Plot,"Each fence contains 8 plots, 1-4 on the ambient side of the fence, 5-8 on the winter warmed side of the fence. Summer warming treatments are nested within winter warming treatments, plots 1, 3, 5, 7 have open top chambers to produce a summer warming effect.",6,
plot_num,plot identifier number,6,
PoaEmi,Percent cover hits for Poa eminens,6,
PPFD,photosynthetic photon flux density,6,
precip,Rainfall ,6,
pressure,barometric pressure,6,
QEM,latent heat flux density,6,
QH,sensible heat flux density,6,
RH,relative humidity,6,
RH,relative humidity at 2 m measured by Vaisala probe,6,
Rnet,Net radiation,6,
Salinity,Salinity levels at a seabird CT or CTD sensor,6,
SDWNDDIR,standard deviation of wind direction from wind vane,6,
Site,coring site,6,
Species,species for which data was recorded,6,
SteHum,Percent cover hits for Stellaria humifusa,6,
STP1,"soil temperature from 0-5 cm depth, probe #1",6,
STP2,"soil temperature from 0-5 cm depth, probe #2",6,
Submergence Percent,Percentage of time over the hour that the buoy submerged into Polar Ocean,6,
SW,S = summer or air warming; C=control,6,
tair,Air temperature ,6,
TBAR,sonic temperature (approx. virtual temperature),6,
Temperature at Salinity Sensor,Temperature at a seabird CT or CTD sensor,6,
Time,AK daylight time,6,
Total,Total number of percent cover hits (out of 81),6,
TriPal,Percent cover hits for Triglochin palustris,6,
u*,Frictional velocity,6,
UBAR,"mean horizontal wind speed, U",6,
USTAR,"friction velocity, u*",6,
W. Direction,Wind direction,6,
warm_treatment,temperature treatment,6,
wind_di,wind direction,6,
Wind_sp,wind speed,6,
WINDDIR,wind direction from wind vane,6,
WINDDIR3,wind direction from sonic anemometer,6,
WW, W = winter warmed side; C= control/ambient side,6,
year,sample year,6,
Year,Measurement year,6,
YYMMDD,"last two digits of year, two-digit month, two-digit day",6,
(10) cm T,Soil temperature at 10 cm BGL,5,
(15) cm T,Soil temperature at 15 cm BGL,5,
(20) cm T,Soil temperature at 20 cm BGL,5,
(25) cm T,Soil temperature at 25 cm BGL,5,
(30) cm T,Soil temperature at cm BGL,5,
(35) cm T,Soil temperature at 35 cm BGL,5,
(40) cm T,Soil temperature at 40 cm BGL,5,
(5) cm T,Soil temperature at 5 cm below ground level (BGL),5,
(50) cm T,Soil temperature at 50 cm BGL,5,
(60) cm T,Soil temperature at 60 cm BGL,5,
(70) cm T,Soil temperature at 70 cm BGL,5,
0 cm T,"Temperature at the ""soil surface""",5,
10 cm T,Air temperature at 10 cm AGL,5,
100 cm DT,Dry-bulb air temperature at 100 cm AGL,5,
100 cm WT,Wet-bulb air temperature at 100 cm AGL,5,
20 cm T,Air temperature at 20 cm above ground level (AGL),5,
200 cm DT,Dry-bulb air temperature at 200 cm AGL,5,
200 cm WT,Wet-bulb air temperature at 200 cm AGL,5,
5 cm T,Air temperature at 5 cm AGL,5,
8 cm T,Air temperature at 8 cm AGL,5,
air_pressure,Fixed value use for the flux calculation ,5,
air_temperature,Air temperature from the sonic anemometer,5,
Ave G,Average ground heat flux,5,
Ba,barium,5,
Ba_unc,"Ba uncertainy, ""unc"" refers to the standard deviation of the measurement",5,
Ca,calcium,5,
Ca_unc,"Ca uncertainy, ""unc"" refers to the standard deviation of the measurement",5,
Corr. G,Corrected ground heat flux,5,
Date,Sampling date,5,
daytime,1 = observation recorded in daytime ,5,
Depth,Depth in meters ,5,
DO,dissolved oxygen in milligrams per liter,5,
DOY,"Decimal Day of the Year. Example: In the data file 2015_2016_winter_E6_temperature.csv, values for decimal day of year begin at 255.709193. This corresponds to approximately 71% of the way through the 256th day of 2015, or 5:02 pm on September 19th, 2015. In data files that contain a transition to a new calendar year, values for the new year begin at 365.00000 (or 366.00000 for leap years).",5,
DOY,Decimal Day of year ,5,
DOY,Julian date,5,
Dry,Drying treatment,5,
fence,Snowfence #,5,
Fence,Snowfence number,5,
G1,Ground heat flux from heat flux plate 1,5,
G2,Ground heat flux from heat flux plate 2,5,
GWC,Gravimetric water content (0-5 cm),5,
H,Sensible heat measured in W/m^2,5,
H1WATERM,1 Volumetric soil water content (m3/m3) no organic correction,5,
h2o_flux,H20 flux measurement,5,
H2WATERM,2 Volumetric soil water content (m3/m3) no organic correction,5,
H3WATERM,3 Volumetric soil water content (m3/m3) no organic correction,5,
H4WATERM,4 Volumetric soil water content (m3/m3) no organic correction,5,
hour,Half-hourly interval,5,
hourmin,Hour/minute measurement was taken,5,
K,potassium,5,
K_unc,"K uncertainy, ""unc"" refers to the standard deviation of the measurement",5,
Lat,latitude,5,
Le,Latent heat flux,5,
LE,Latent heat measured in W/m^2,5,
Lon,longitude,5,
M_VALIDY,Validy is sum of other valid so if all valid then validy=8,5,
MAIRT1,Air temperature ~590cm (oC),5,
MAIRT2,Air temperature ~200cm (oC),5,
Measurement,various measurements of species from sampling column,5,
Mg,magnesium,5,
Mg_unc,"Mg uncertainy, ""unc"" refers to the standard deviation of the measurement",5,
MK_DOWN,Incoming shortwave radiation (Wm-2),5,
MK_UP,Outgoing shortwave radiation (Wm-2),5,
MPAR,Par (umol.m-2.s-1),5,
MPYR,Net radiation 760cm (Wm-2),5,
MRN1,Net radiation (Wm-2),5,
MSHFP1,1 Soil heat flux plate @10cm (Wm-2),5,
MSHFP2,2 Soil heat flux plate @10cm (Wm-2),5,
MSHFP3,3 Soil heat flux plate @10cm (Wm-2),5,
MSHFP4,4 Soil heat flux plate @10cm (Wm-2),5,
MSHFP5,5 Soil heat flux plate @10cm (Wm-2),5,
MSTP1,1 Average soil temperature top 10cm,5,
MSTP2,2 Average soil temperature top 10cm,5,
MSTP3,3 Average soil temperature top 10cm,5,
MSTP4,4 Average soil temperature top 10cm,5,
MUSTAR,Friction velocity (m/s),5,
Na,sodium,5,
Na_unc,"Na uncertainy, ""unc"" refers to the standard deviation of the measurement",5,
NDVI,Normalized Difference Vegetation Index is one of the most widely used vegetation indices and is an indicator that describes the greenness (the relative density and health of vegetation) for each measured surface point,5,
NH4,ammonium,5,
NH4_UNC,"NH4 uncertainy, ""unc"" refers to the standard deviation of the measurement",5,
NO2,nitrogen dioxide,5,
NO2_UNC,"NO2 uncertainy, ""unc"" refers to the standard deviation of the measurement",5,
NO3,nitrate,5,
NO3_unc,"NO3 uncertainy, ""unc"" refers to the standard deviation of the measurement",5,
Ocean Pressure (dB) at Sensor #1,"Ocean Pressure, with Nominal Depth 25.0 m",5,
PAR,photosynthetically active radiation in micromole photons /square meter/second,5,
pDO,Percentage of dissolved oxygen saturation,5,
pH,pH (potential hydrogen) measurement,5,
plot,air and soil warming,5,
Plot,Plot indentifier within a fence,5,
PO4,isotope of phosphate,5,
PO4_unc,"PO4 uncertainy, ""unc"" refers to the standard deviation of the measurement",5,
Rsolar,Incomming solar radiation,5,
Sample,"object of measurement, specific data was reported from each site and aggregated into the Sample column",5,
SC,specific conductance in microsiemens/centimeter,5,
SD W. Dir.,Standard deviation in wind direction over 30 minute averaging period,5,
Si_OH_4,silicic acid,5,
Si_OH_4_unc,"Si OH 4 uncertainy, ""unc"" refers to the standard deviation of the measurement",5,
Site,Site code,5,
Site,"Site of harvest, MAT refers to moist acidic tundra; MNT refers to moist non-acidic tundra",5,
species,species name,5,
Species,Species of sample,5,
Sr,strontium,5,
Sr_unc,"Sr uncertainy, ""unc"" refers to the standard deviation of the measurement",5,
Sr87_Sr86,strontium isotope ratio,5,
T,Temperature in degrees celsius ,5,
T_five,Soil Temperature at 5 cm,5,
T_forty,Soil Temperature at 40 cm,5,
T_ten,Soil Temperature at 10 cm,5,
T_twenty,Soil Temperature at 20 cm,5,
Temp,The temperature at the point.,5,
Temperature C,Temperature C,5,
time,Observation time,5,
Tissue N (mg/g),Tissue N (mg/g),5,
TS,Date measurement was taken,5,
TTIME,Alaska daylight time excel format TIME1,5,
TTIME,Alaska Daylight time excel format TIME1,5,
VWC,Volumetric water content (0-20 cm),5,
Warm,Winter warming treatment,5,
WS 200 cm,Wind speed at 200 cm AGL,5,
Year,Year in 'YYYY',5,
Year,Year in 'YYYY' format,5,
0,Recorded temperature in celsius by the logger at 0 meters depth,4,
8.2,Recorded temperature in celsius by the logger at 8.2 meters depth,4,
agc_Avg,unitless,4,
Age_ky,age in ky (Age years/1000)  Cal BP,4,
albedo,unitless,4,
batt_volt_Avg,V,4,
Block,The treatment block number,4,
CalDes,Percent cover hits for Calamagrostis deschampsioides,4,
CarAqu,Percent cover hits for Carex aquatilis,4,
CarRar,Percent cover hits for Carex rariflora,4,
category,Category of stream or river.,4,
Cl,chlorine,4,
Cl_unc,"Cl uncertainy, ""unc"" refers to the standard deviation of the measurement",4,
Composite_depth,Master Composite Depth in cm,4,
Corresponding_File,Filename of data recorded at location,4,
cs616_Avg(1),mSec,4,
cs616_Avg(2),mSec,4,
csat_warnings,integer,4,
CSD/T,CSD/T,4,
DataDateTime,Date and time of measurement GMT,4,
Date,date of measurement,4,
Date,Date the measurement was taken,4,
DATE,Date of sample,4,
DBO_Station,Distributed Biological Observatory (DBO) station code,4,
DOM,integer,4,
DOY,Julian Day,4,
ECO_532nm,Backscatter at 532nm,4,
G1_1,W/m2,4,
G1_2,W/m2,4,
G1_3,W/m2,4,
G1_4,W/m2,4,
H_c,W/m2,4,
H2O_2_dens,g/m3,4,
H2O_conc,mmol/mol,4,
HR,integer,4,
HRMIN,HHMM,4,
irga_warnings,integer,4,
JD,Julian day,4,
Kd_1to2_412nm,Diffuse attenuation at 412 nm between 5 and 10 m,4,
Kd_1to2_443nm,Diffuse attenuation at 443 nm between 5 and 10 m,4,
Kd_1to2_555nm,Diffuse attenuation at 555 nm between 5 and 10 m,4,
Kd_1to2_PAR,Diffuse attenuation of PAR between 5 and 10 m,4,
Kd_1to3_412nm,Diffuse attenuation at 412 nm between 5 and 20 m,4,
Kd_1to3_443nm,Diffuse attenuation at 443 nm between 5 and 20 m,4,
Kd_1to3_555nm,Diffuse attenuation at 555 nm between 5 and 20 m,4,
Kd_1to3_PAR,Diffuse attenuation of PAR between 5 and 20 m,4,
Kd_2to3_412nm,Diffuse attenuation at 412 nm between 10 and 20 m,4,
Kd_2to3_443nm,Diffuse attenuation at 443 nm between 10 and 20 m,4,
Kd_2to3_555nm,Diffuse attenuation at 555 nm between 10 and 20 m,4,
Kd_2to3_PAR,Diffuse attenuation of PAR nm between 10 and 20 m,4,
LAI,Leaf Area Index measured using an AcuPar Model 80 Instrument (1 measurement/point),4,
Lat,Latitudinal coordinates,4,
LE_cw,W/m2,4,
LI_192_1,Number photons received in the 400-700nm range at .5m depth,4,
LI_192_2,Number photons received in the 400-700nm range at 1m depth,4,
LI_192_3,Number photons received in the 400-700nm range at 50m depth,4,
Lon,Longitudinal coordinates,4,
M_ALBEDO,Shortwave albedo,4,
MFILSTP1,1 Average soil temperature top 10cm,4,
MFILSTP2,2 Average soil temperature top 10cm,4,
MFILSTP3,3 Average soil temperature top 10cm,4,
MFILSTP4,4 Average soil temperature top 10cm,4,
MH1_QV,1 Organic soil moisture content using algorithm of Hinzman (%),4,
MH2_QV,2 Organic soil moisture content using algorithm of Hinzman (%),4,
MH3_QV,3 Organic soil moisture content using algorithm of Hinzman (%),4,
MH4_QV,4 Organic soil moisture content using algorithm of Hinzman (%),4,
MK_DOWNF,Incoming shortwave radiation (Wm-2),4,
MKUP_FIL,Outgoing shortwave radiation (Wm-2),4,
ML_DOWN,Incoming longwave radiation (Wm-2),4,
ML_UP,Outgoing longwave radiation (Wm-2),4,
MONTH,integer,4,
MPAR,Net radiation 760cm (Wm-2),4,
MPYR,Par (umol.m-2.s-1),4,
MSHFP1,SHFP1_AVG H,4,
MSHFP2,SHFP2_AVG H,4,
